iter	Logloss
0	0.6898026193
1	0.6866613228
2	0.6832266744
3	0.6805725759
4	0.6778388843
5	0.6755146175
6	0.6731204351
7	0.6708887211
8	0.6687310767
9	0.6665106145
10	0.664402219
11	0.6625879446
12	0.6610928083
13	0.6595489732
14	0.6579989666
15	0.656534822
16	0.6551290074
17	0.6539334361
18	0.6527119403
19	0.6514802538
20	0.6503178358
21	0.6495340473
22	0.6487023052
23	0.6476992706
24	0.6467852399
25	0.6461099908
26	0.6453404672
27	0.6448225234
28	0.6441920907
29	0.6432810725
30	0.6420768507
31	0.6414308665
32	0.6408764081
33	0.6400504206
34	0.639038211
35	0.6380166383
36	0.6372814505
37	0.6366238525
38	0.6359213457
39	0.6352057021
40	0.6345566161
41	0.633766419
42	0.6324976879
43	0.6317065756
44	0.6307874536
45	0.6298489405
46	0.6293145134
47	0.6289332887
48	0.6284517054
49	0.6278407067
50	0.6274050473
51	0.6269989911
52	0.6264102525
53	0.6258269751
54	0.6252252973
55	0.6246083575
56	0.6243058985
57	0.6238718717
58	0.6232260492
59	0.6229047726
60	0.6225066891
61	0.6222926681
62	0.6218055442
63	0.621153238
64	0.6205552372
65	0.6200842161
66	0.6195754403
67	0.6191416873
68	0.6185594614
69	0.6181674189
70	0.6177712029
71	0.6173379214
72	0.6168991746
73	0.6166065073
74	0.6159189402
75	0.6155309487
76	0.6151351591
77	0.6148625499
78	0.6145899192
79	0.6141599841
80	0.613602465
81	0.6132448472
82	0.6128351515
83	0.6125578641
84	0.6121396056
85	0.6118310323
86	0.611429548
87	0.6111413419
88	0.6108643437
89	0.6103575835
90	0.6099931889
91	0.6094612963
92	0.6091048789
93	0.6088237818
94	0.6085246689
95	0.6080700688
96	0.6076902249
97	0.607222853
98	0.6068837684
99	0.6062015358
100	0.6058766213
101	0.6055629144
102	0.6053906724
103	0.6050388824
104	0.6047887453
105	0.6042858965
106	0.6037978816
107	0.6035310928
108	0.6031497872
109	0.6028420124
110	0.6025691266
111	0.6019807119
112	0.6014231592
113	0.6012205417
114	0.6009106834
115	0.6005279479
116	0.600266066
117	0.6000013505
118	0.5997943231
119	0.5994821911
120	0.5990191947
121	0.5986644479
122	0.5984312848
123	0.5982318869
124	0.5978863098
125	0.597537397
126	0.5970867181
127	0.5968834027
128	0.5967682805
129	0.596393147
130	0.596122223
131	0.595843688
132	0.5953132503
133	0.5951192322
134	0.5948910024
135	0.5947121551
136	0.5944985285
137	0.5941795763
138	0.5936130032
139	0.5933531286
140	0.5931043378
141	0.5928607153
142	0.5925051257
143	0.5922307824
144	0.5920123549
145	0.591667123
146	0.5912926208
147	0.5910105478
148	0.5906707402
149	0.5903004161
150	0.5899353015
151	0.5895461724
152	0.5891000783
153	0.588575227
154	0.5883703473
155	0.5881889869
156	0.5879750831
157	0.5877514582
158	0.5875033901
159	0.5873566777
160	0.5870324098
161	0.5866969424
162	0.5864435078
163	0.5862283653
164	0.5860865107
165	0.5857830849
166	0.585491214
167	0.5853077055
168	0.5849078773
169	0.5846264943
170	0.5841312571
171	0.5838525416
172	0.5836265038
173	0.5835177424
174	0.5832561686
175	0.583041281
176	0.5828508104
177	0.5827228991
178	0.5823608269
179	0.5820488881
180	0.58176588
181	0.5814840356
182	0.5812395783
183	0.581044442
184	0.580767869
185	0.5804842374
186	0.5801887744
187	0.5797255259
188	0.5793451587
189	0.5791861434
190	0.5788977739
191	0.5782826266
192	0.5778873242
193	0.5775154511
194	0.5772938881
195	0.577091262
196	0.5768074712
197	0.57643094
198	0.5760699815
199	0.5759364527
